"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 12:03:23.103",uckepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8i","req-8i","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:23.103","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:23.101",uskepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8g","req-8g","714.979","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:23.101","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:22.572",u8kepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8a","req-8a","1,202.553","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:22.571","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:22.526",vMkepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8h","req-8h","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:22.526","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:22.524",vckepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-8b","req-8b","652.135","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:22.523","/api/admin/auth-status","/api/admin/auth-status","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:22.386",vskepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8g","req-8g","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:22.386","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:22.385",v8kepZoBKNps3ga0GPqi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-89","req-89","2,020.244","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:22.385","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:21.884",rMkepZoBKNps3ga0EPrL,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8f","req-8f","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:21.884","/api/api/subscriptions/current","/api/api/subscriptions/current","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:21.880",rckepZoBKNps3ga0EPrL,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8e","req-8e","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:21.880","/api/credits/current","/api/credits/current","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:21.876",rskepZoBKNps3ga0EPrL,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8d","req-8d","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:21.876","/api/admin/entity-scope","/api/admin/entity-scope","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:21.873",r8kepZoBKNps3ga0EPrL,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8c","req-8c","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:21.873","/api/onboarding/status","/api/onboarding/status","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:21.871",sMkepZoBKNps3ga0EPrL,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-8b","req-8b","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:21.871","/api/admin/auth-status","/api/admin/auth-status","wrapper-backend","wrapper-backend"
