"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.environment","metadata.environment.keyword","metadata.host","metadata.host.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.port","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 11:47:24.397",vckPpZoBKNps3ga0dvZu,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2g","req-2g","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:24.397","/api/credits/current","/api/credits/current","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:24.396",vskPpZoBKNps3ga0dvZu,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2f","req-2f","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:24.396","/api/admin/entity-scope","/api/admin/entity-scope","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:24.395",v8kPpZoBKNps3ga0dvZu,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2e","req-2e","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:24.395","/api/onboarding/status","/api/onboarding/status","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:24.393",u8kPpZoBKNps3ga0cvas,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2d","req-2d","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:24.392","/api/admin/auth-status","/api/admin/auth-status","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:21.347",uskPpZoBKNps3ga0ZvbE,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2c","req-2c","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:47:21.347","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:47:10.929",uckPpZoBKNps3ga0PvYV,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-28","req-28","76,579.62","wrapper-backend","wrapper-backend",401,"Nov 21, 2025 @ 11:47:10.928","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:46:31.804","uMkOpZoBKNps3ga0p_aF","app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2b","req-2b","1,098.193","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:46:31.803","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:46:30.705",tskOpZoBKNps3ga0pPa8,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2b","req-2b","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:46:30.705","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:46:30.703",t8kOpZoBKNps3ga0pPa8,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-2a","req-2a","1,037.894","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:46:30.703","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:46:29.665","tckOpZoBKNps3ga0n_ar","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-2a","req-2a","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:46:29.665","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:46:29.663",tMkOpZoBKNps3ga0nPbi,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-","-","-","-","-",GET,GET,"-","-","-","req-29","req-29","3,315.383","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 11:46:29.662","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 11:46:26.347","s8kOpZoBKNps3ga0j_b8","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"-","-","-","-","localhost:3000","localhost:3000",GET,GET,"-","127.0.0.1","127.0.0.1","req-29","req-29","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 11:46:26.347","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
